1,4,6.37,2.85,0,Astrophysics,French
1,5,7.84,3.91,1,Sports Management,Data Science
1,2,5.5,2.82,1,Statistics,Computer Science
1,3,8.43,1.92,1,English,Religious Studies
0,4,6.29,3.43,1,Fine Arts,Data Science
1,4,8.36,1.91,1,Journalism,Astrophysics
1,4,6.56,3.61,1,Biology,Chemistry
0,2,7.98,1.96,0,French,Data Science
1,4,5.52,2.85,0,Computer Science,Math
1,3,9.15,3.34,0,Fine Arts,Biology
1,4,6.14,1.82,1,Math,Data Science
0,4,6.87,1.75,1,Journalism,Computer Science
1,3,6.9,3.84,1,Sports Management,Journalism
1,2,6.53,1.57,0,Astronomy,Astrophysics
1,4,9.98,3.66,1,Spanish,Statistics
0,2,9.78,2.81,1,Math,Electrical Engineering
0,2,5.1,3.32,1,Statistics,Astronomy
1,3,5.32,3.62,1,Astrophysics,Religious Studies
1,2,7.16,3.72,1,Computer Science,Fine Arts
0,3,6.07,2.29,0,Religious Studies,Astronomy
1,3,7.25,3.2,1,French,Astronomy
0,4,7.96,1.97,0,Computer Science,Astronomy
0,4,7.88,2.61,0,Astronomy,Math
0,3,6.81,1.98,0,French,Astronomy
1,4,5.14,3.97,1,Religious Studies,Data Science
1,3,5.11,1.56,1,Astronomy,Computer Science
0,2,7.34,3.74,1,Journalism,Journalism
1,4,5.57,3.93,1,Fine Arts,French
1,2,8.75,2.56,1,German,Astronomy
0,4,5.21,3.32,1,Computer Science,French
0,5,7.27,1.69,0,French,French
0,3,7.39,3.36,1,Biology,Data Science
0,3,7.7,3.5,1,Biology,Math
1,4,5.1,1.73,1,Spanish,Journalism
1,2,5.71,3,0,French,Journalism
1,5,9.29,2.69,0,Astrophysics,English
1,3,7.44,3.24,1,Computer Science,Spanish
1,5,6.37,2.07,1,Sports Management,Astrophysics
1,4,9.46,1.98,0,English,Math
1,5,9.52,3.18,0,Chemistry,German
1,3,9.95,2.17,1,Electrical Engineering,French
0,5,8.22,2,0,Spanish,Math
0,3,9.23,1.56,0,English,Statistics
1,5,9.11,2.81,1,Religious Studies,English
1,4,8.33,1.52,0,Electrical Engineering,Astronomy
1,3,6.47,1.64,0,English,Religious Studies
1,3,5.55,3.68,0,Statistics,Spanish
1,3,8.77,3.64,1,German,Statistics
1,3,7.83,3.19,1,German,Religious Studies
1,3,6.62,1.55,0,Chemistry,Religious Studies
0,2,9.61,3.74,1,Statistics,Math
0,3,6.83,1.63,0,Astrophysics,Statistics
0,5,6.79,2.45,1,Astronomy,Astrophysics
1,5,9.93,3.35,0,Astronomy,French
1,3,8.95,2.95,0,Spanish,French
1,3,7.43,1.8,0,Statistics,Astronomy
1,3,5.57,2.95,1,Chemistry,Spanish
1,3,8.32,2.44,1,Fine Arts,Fine Arts
0,3,7.29,1.91,0,German,Religious Studies
1,4,6.43,2.18,0,Math,Astronomy
1,3,9.72,3.28,1,French,Fine Arts
1,3,9.44,1.83,1,Sports Management,Math
0,4,5.81,3.35,1,French,Statistics
1,4,7.49,3.52,0,English,Religious Studies
1,4,6.01,2.51,0,Religious Studies,Fine Arts
0,5,7.84,2.17,1,Sports Management,Data Science
1,5,5.22,2.67,1,Fine Arts,English
0,4,9.16,2,0,German,Religious Studies
1,3,7.56,3.37,0,Data Science,Spanish
1,3,9.38,2.7,0,Fine Arts,Electrical Engineering
0,4,8.55,2.74,1,Chemistry,Spanish
1,3,9.43,2.38,1,Statistics,Biology
0,2,8.82,3.38,1,English,Computer Science
0,4,9.71,2.42,0,Electrical Engineering,German
1,3,5.86,3.27,0,Spanish,Math
1,3,9,2.31,1,Computer Science,Astrophysics
1,3,6.23,3.69,1,Electrical Engineering,French
1,2,5.25,1.5,1,Astronomy,Statistics
1,3,6.03,1.76,0,Chemistry,Sports Management
1,5,7.12,2.61,1,English,Fine Arts
1,3,8.21,3.74,1,English,Computer Science
1,4,5.85,2.07,0,Astronomy,English
1,2,9.09,1.87,0,English,Sports Management
1,2,8.03,3.6,1,German,Electrical Engineering
0,4,6.87,2.54,0,Sports Management,Computer Science
0,4,7.96,3.8,1,French,Chemistry
1,2,5.14,3.54,0,German,Sports Management
1,4,7.1,2.59,1,Electrical Engineering,Astrophysics
0,4,6.9,3.98,1,Fine Arts,German
1,3,6.34,2.54,1,Astrophysics,Electrical Engineering
1,3,9.57,2.3,1,Astronomy,Spanish
1,4,5.31,1.83,0,Astrophysics,Astronomy
0,4,5.87,1.67,1,Statistics,English
1,3,6.53,1.94,1,Religious Studies,Biology
1,4,8.24,4,1,Astrophysics,Math
1,3,9.64,3.52,0,Spanish,Religious Studies
0,5,8.45,2.26,0,Data Science,Electrical Engineering
0,5,6.23,3.65,0,Sports Management,German
1,3,8.04,2.88,1,German,Computer Science
0,5,7.58,3,0,Statistics,Statistics
1,4,7.2,3.66,0,English,Sports Management
1,2,5.51,2.24,1,German,English
0,3,9.46,3.72,0,Sports Management,Computer Science
0,3,5.92,2.45,1,Biology,Astrophysics
0,4,7.45,1.89,0,Fine Arts,Journalism
0,4,9.86,1.67,1,Chemistry,German
1,4,9.03,1.7,1,Math,Religious Studies
0,2,8.7,2.63,1,Computer Science,Math
1,4,5.18,2.84,1,Electrical Engineering,Astronomy
1,5,7.18,2.9,1,Religious Studies,Statistics
1,3,8.98,2.87,0,French,English
1,5,8.51,2.33,0,Fine Arts,German
1,3,5.84,2.56,1,Astrophysics,Math
0,3,7.47,1.81,0,English,Chemistry
1,5,9.09,3.19,0,Astronomy,Sports Management
1,3,6.31,2.9,0,Religious Studies,Math
0,4,6.22,1.87,0,Chemistry,Computer Science
1,3,7.11,2.34,0,English,Data Science
